Term,ID,Definition,Term Type,Related Terms,Related To,Example
Situational Recognition,situational_recognition,"The ability to perceive how external conditions — such as environment, task, role, or timing — impact the expression or suppression of traits. Situational Recognition helps individuals evaluate how well their context supports who they are and what they need.",concept,,"situational_alignment,misalignment,alignment_dynamics",
Behavior Misalignment,behavioral_misalignment,"Observable behaviors that indicate misalignment, such as procrastination, overcommitting, avoidance of high-priority tasks, and task-switching. These signals show that a person is acting in ways that are inconsistent with their natural drives or capabilities.",symptom,,situational_recognition,
Cognitive Misalignment,cognitive_misalignment,"Internal signs that reflect when a person’s mental clarity is disrupted due to misalignment between their traits and environment. Symptoms include difficulty focusing, mental fog, overthinking, and decision-making paralysis, often signaling that one's natural flow is blocked.",symptom,,situational_recognition,
Emotional Misalignment,emotional_misalignment,"Emotional signals that indicate an individual is out of sync with their natural traits or context. Symptoms include frustration, guilt, irritability, and emotional numbness, signaling a disconnect from one’s true purpose or alignment.",symptom,,situational_recognition,
Energetic Misalignment,energetic_misalignment,"A disruption in an individual’s natural energy flow, signaling when traits and external circumstances are misaligned. Symptoms include low energy, restlessness, fatigue, and bursts of energy followed by collapse.",symptom,,situational_recognition,
Existential Misalignment,existential_misalignment,"Internal feelings of emptiness, disconnection, or lack of purpose. These symptoms reflect deeper existential misalignment where an individual may feel lost, disconnected from their true self, or as though they are living the wrong life.",symptom,,situational_recognition,
Sustained Flow,sustained_flow,"A recurring or ongoing experience of Flow over time, supported by both Trait Alignment (internal) and Situational Alignment (external). Sustained Flow reflects a stable pattern of coherence in which a person is regularly engaged in environments and activities that allow their traits to express naturally and consistently. It is often seen as a key marker of lasting alignment.",concept,,"trait_alignment,situational_alignment,trait_expression,alignment_dynamics,swastha",
Procrastination,procrastination,"A common cognitive symptom of misalignment where an individual delays important tasks or responsibilities, often due to inner conflict or avoidance of misaligned tasks.",symptom,,cognitive_misalignment,
Spacing Out,spacing_out,"A mental disengagement from tasks or conversations, indicating cognitive misalignment where the individual is not fully present or engaged.",symptom,checking_out,cognitive_misalignment,
Not Acting,not_acting,"The inability or unwillingness to take action on tasks that need attention, despite knowing what needs to be done, signaling a cognitive misalignment.",symptom,,cognitive_misalignment,
Mental Fog,mental_fog,"A state of mental cloudiness or sluggish thinking, often indicating that a person’s mind is overwhelmed or blocked, preventing clear thought and decision-making.",symptom,,cognitive_misalignment,
Overthinking,overthinking,"The process of becoming trapped in repetitive, looping thoughts, preventing decisive action and clarity, often signaling mental misalignment.",symptom,,cognitive_misalignment,
Decision Paralysis,decision_paralysis,"A cognitive block that makes it difficult to make decisions or take action, often caused by an internal conflict between natural traits and external demands.",symptom,,cognitive_misalignment,
Checking Out,checking_out,"A behavior where an individual mentally disengages from conversations or tasks, signaling a disconnect between their internal traits and the external context.",symptom,spacing_out,cognitive_misalignment,
Misalignment Behavioral Signals,misalignment_behavior_signals,"Externalized behaviors and coping patterns that often indicate internal misalignment. These behaviors are adaptive responses to emotional, cognitive, or situational misalignment. They serve as signals for deeper internal issues that need to be addressed, such as avoidance, overstimulation, or compensation.",concept,,misalignment,
Stimulant Seeking,stimulant_seeking,"The reliance on external sources of energy, such as caffeine or energy drinks, to cope with misalignment.",concept,,misalignment_behavior_signals,
Comfort Consumption,comfort_consuming,"Using food, shopping, or other consumption behaviors to soothe emotional discomfort or avoid facing misalignment.",concept,,misalignment_behavior_signals,
Digital Distraction,digital_distraction,Engaging in excessive use of digital devices or social media to avoid misalignment or emotional discomfort.,concept,,misalignment_behavior_signals,
Intoxicant Use,intoxicant_use,Using substances like alcohol or drugs to detach from feelings of misalignment or emotional distress.,concept,,misalignment_behavior_signals,
Control-Seeking,control_seeking,"The need to control situations or overthink in response to misalignment, often involving excessive mental planning or rehearsing.",concept,,misalignment_behavior_signals,
Social Signals,social_signals,"Behavioral signals in social contexts, such as gossiping, passive-aggressive behavior, or avoiding intimacy while still craving connection.",concept,,misalignment_behavior_signals,
False Agency,false_agency,"The act of projecting an image of confidence or leadership to mask internal misalignment, often by overperforming or managing perceptions.",concept,,misalignment_behavior_signals,
Stimulant Seeking,stimulant_seeking,"The reliance on external sources of energy, such as caffeine or energy drinks, to cope with misalignment.",concept,,misalignment_behavior_signals,
Comfort Consumption,comfort_consuming,"Using food, shopping, or other consumption behaviors to soothe emotional discomfort or avoid facing misalignment.",concept,,misalignment_behavior_signals,
Digital Distraction,digital_distraction,Engaging in excessive use of digital devices or social media to avoid misalignment or emotional discomfort.,concept,,misalignment_behavior_signals,
Intoxicant Use,intoxicant_use,Using substances like alcohol or drugs to detach from feelings of misalignment or emotional distress.,concept,,misalignment_behavior_signals,
Control-Seeking,control_seeking,"The need to control situations or overthink in response to misalignment, often involving excessive mental planning or rehearsing.",concept,,misalignment_behavior_signals,
Social Signals,social_signals,"Behavioral signals in social contexts, such as gossiping, passive-aggressive behavior, or avoiding intimacy while still craving connection.",concept,,misalignment_behavior_signals,
False Agency,false_agency,"The act of projecting an image of confidence or leadership to mask internal misalignment, often by overperforming or managing perceptions.",concept,,misalignment_behavior_signals,
Caffeine Consumption,stimulant_caffeine,The reliance on caffeine to boost energy or focus when alignment is disrupted.,behavior,,stimulant_seeking,
Taurine-Based Energy Drinks,stimulant_taurine,"The use of taurine-based energy drinks to artificially increase energy levels and focus, signaling misalignment when external stimulants are needed to maintain engagement.",behavior,,stimulant_seeking,
Sugar-Based Energy Boosts,stimulant_sugar,"Using sugary snacks or drinks as a way to artificially boost energy or mood, often signaling an internal imbalance or misalignment between energy levels and tasks.",behavior,,stimulant_seeking,
Comfort Snacking,comfort_snacking,"Engaging in excessive eating to cope with emotional discomfort or stress, signaling misalignment between emotional needs and internal energy.",behavior,overeating,comfort_consuming,
Impulse Shopping,comfort_shopping,"The act of shopping impulsively as a way to fill an emotional void or distract from discomfort, a common behavior when misaligned with one's purpose or situation.",behavior,,comfort_consuming,
Doomscrolling,doomscrolling,"Continuously scrolling through negative news or content, especially on social media, as a way to avoid facing misalignment or emotional discomfort.",behavior,,digital_distraction,
Alcohol Use,alcohol_use,Drinking alcohol to detach or avoid dealing with emotional misalignment.,behavior,,intoxicant_use,
Drug Use,drug_use,Using substances for emotional escape or to avoid confronting misalignment.,behavior,,intoxicant_use,
Over-Planning,control_planning,Excessive planning or mental rehearsal to avoid taking real action or facing misalignment.,behavior,,control_seeking,
Gossiping,social_gossiping,Engaging in gossip as a way to deflect attention from internal misalignment or discomfort.,behavior,,social_signals,
Over-Performing Confidence,false_leadership,Projecting excessive confidence or leadership to mask internal misalignment or insecurity.,behavior,,false_agency,
Binge Watching,binge_watching,Watching excessive amounts of video content as an escape from misalignment or emotional discomfort.,behavior,,digital_distraction,
Binge Eating,binge_eating,"Eating large quantities of food in a short period of time, often as an emotional response to misalignment or stress.",behavior,,comfort_consuming,
Overeating,overeating,"Consuming excessive amounts of food, typically as a coping mechanism when feeling misaligned, stressed, or emotionally uncomfortable.",behavior,,comfort_consuming,
Protective Nature,protective_nature,"A tendency to care for and protect others from harm, ensuring their safety and well-being. Individuals with this trait often feel a strong urge to shield vulnerable people from external threats and create secure environments, whether in personal, social, or professional contexts.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Educative Nature,educative_nature,"A tendency to teach, guide, and share knowledge, fostering growth and learning in others. People with this trait find fulfillment in roles where they can impart wisdom, mentor others, and help them achieve their potential, whether in formal education, mentorship, or casual teaching moments.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Administrative Nature,administrative_nature,"A tendency to organize, plan, and manage resources, tasks, and people in a structured way. Individuals with this trait excel at creating systems, optimizing workflows, and ensuring that everything runs smoothly, often taking on roles in management, operations, or logistics to create order and efficiency.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Creative Nature,creative_nature,"A tendency to innovate, generate new ideas, and explore unconventional solutions. People with this trait are driven by the desire to create original works, whether through art, technology, or problem-solving. They thrive in environments that allow for exploration and self-expression, often challenging the status quo with fresh perspectives.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Healing Nature,healing_nature,"A tendency to care for others by helping them recover, whether emotionally, physically, or spiritually. Individuals with this trait often feel called to roles in caregiving, therapy, or medicine, where they can provide support and aid healing. They are attuned to the suffering of others and feel a deep sense of fulfillment in facilitating their recovery and growth.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Entertaining Nature,entertaining_nature,"A tendency to bring joy, amusement, and laughter to others, often by performing, storytelling, or creating enjoyable experiences. People with this trait thrive in roles where they can engage and uplift others, whether through humor, art, or social interaction, and find fulfillment in spreading positivity and making people feel good.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Providing Nature,providing_nature,"A tendency to nurture and give to others, ensuring their needs are met. Individuals with this trait often feel most fulfilled when they are able to provide for others, whether materially, emotionally, or spiritually. They are drawn to roles that involve service, caregiving, or support, and derive satisfaction from seeing others thrive through their help.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Entrepreneurial Nature,entrepreneurial_nature,"A tendency to create value through innovation, resource utilization, and value extraction. People with this trait excel at working independently, taking calculated risks, and finding new ways to leverage resources to achieve tangible results. They thrive in environments that require self-sufficiency and adaptability, often focusing on value creation and independent work, whether in business, technology, or other dynamic settings.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Adventurous Nature,adventurous_nature,"A tendency to seek out new experiences, challenges, and opportunities for growth. Individuals with this trait feel drawn to exploration, whether through travel, physical challenges, or intellectual curiosity. They thrive in unfamiliar environments, love overcoming obstacles, and often push their boundaries to gain new perspectives and learn from the world around them.",trait,,"multiple_natures_theory,multiple_natures_framework,trait",
Situational Factors,situational_factors,"External conditions that influence how a person’s traits are expressed, suppressed, or distorted in a given moment or environment. These include time pressure, task type, social context, physical state, or emotional climate.",concept,"contextual_influences,external_conditions,stressors","alignment,misalignment,trait_expression,alignment_dynamics",
Cognitive Bandwidth,cognitive_bandwidth,"The available mental capacity a person has to focus, process information, and engage meaningfully. Low bandwidth (from fatigue, stress, or overload) impairs alignment and trait access.",situational_factor,"mental_load,processing_capacity,focus,attention_span","misalignment,discovery_mode,trait_expression",
Time Availability,time_availability,"The amount and quality of time a person has to engage with a task, decision, or relationship. Low availability leads to surface-level decisions, urgency loops, and misaligned trait expression.",situational_factor,"time_pressure,scarcity,scheduling,spacing","misalignment,mastery_mode,realization_mode",
Environmental Stability,environmental_stability,"The degree of consistency and predictability in the environment. Instability (noise, threat, change) increases stress and suppresses alignment by triggering compensatory or survival responses.",situational_factor,"predictability,safety,chaos,disruption","presence_mode,misalignment",
Emotional Load,emotional_load,"The cumulative emotional pressure a person is carrying (grief, stress, conflict, etc.). High emotional load reduces access to aligned traits and clouds decision-making and engagement.",situational_factor,"emotional_residue,burnout,suppression","misalignment,healing_nature,realization_mode",
Social Dynamics,social_dynamics,"The interpersonal atmosphere — including unspoken expectations, power hierarchies, inclusion/exclusion, and group norms — that influence alignment and trait suppression or distortion.",situational_factor,"group_tension,psychological_safety","connection_mode,interpersonal_intelligence",
Physical State,physical_state,"The condition of the body (rest, nutrition, hormones, illness). Dysregulation reduces capacity for aligned engagement and increases reactive behavior, fatigue, or withdrawal.",situational_factor,"energy_reserves,somatic_load,regulation","presence_mode,trait_expression,emotional_fluence",
Role Clarity,role_clarity,"The degree to which expectations are clear, stable, and meaningful. Low clarity creates confusion about which traits to activate and leads to compensatory behavior or default patterning.",situational_factor,"expectation_ambiguity,task_confusion,identity_conflict","alignment_dynamics,mastery_mode",
Task Relevance,task_relevance,"The degree to which a task feels meaningful, energizing, and aligned with values or traits. Low relevance leads to disengagement, drag, and reliance on artificial motivation.",situational_factor,"meaning_fit,intrinsic_motivation,purpose_alignment","realization_mode,misalignment",
